28;강북구 근현대사 역사탐방여행 2019;1;서울특별시 강북구 화계사길 117;(수유동);;http://tong.visitkorea.or.kr/cms/resource/12/2592412_image2_1.JPG;Y;190413;191020;0;0;0;fe
29;강북구 산악문화제 2019;1;서울특별시 강북구 우이동 186-5;;;http://tong.visitkorea.or.kr/cms/resource/13/2616713_image2_1.JPG;Y;190921;190921;0;0;0;fe
30;강우방선생과 함께하는 한국회화의 금자탑, 민화 읽는 법 2019;5;광주광역시 북구 하서로 110국립광주박물관;;;http://tong.visitkorea.or.kr/cms/resource/57/2615757_image2_1.jpg;Y;190828;190828;0;0;0;fe
31;강원 국제 모터페스타 2019;32;강원도 인제군 기린면 상하답로 130;;;http://tong.visitkorea.or.kr/cms/resource/11/2615111_image2_1.JPG;Y;190831;190901;0;0;0;fe
32;강원 산나물한마당축제 2019;32;강원도 춘천시 평화로 1;;;http://tong.visitkorea.or.kr/cms/resource/53/2597253_image2_1.JPG;Y;190426;190428;0;0;0;fe
33;강원과학기술대축전, 강원 지식재산 페스티벌 2019;32;강원도 춘천시 서면 박사로 882;;;http://tong.visitkorea.or.kr/cms/resource/60/2617060_image2_1.JPG;Y;190906;190907;0;0;0;fe
34;강원그린박람회 2019;32;강원도 춘천시 평화로 26;(근화동);;http://tong.visitkorea.or.kr/cms/resource/58/2496158_image2_1.jpg;Y;190614;190616;0;0;0;fe
35;강진 영랑문학제 2019;38;전라남도 강진군 강진읍 영랑생가길 15;(강진읍);;http://tong.visitkorea.or.kr/cms/resource/55/220655_image2_1.jpg;Y;190426;190427;0;0;0;fe
36;강진만 춤추는 갈대축제 2020;38;전라남도 강진군 강진읍 남당로 97-111;;;http://tong.visitkorea.or.kr/cms/resource/45/2562045_image2_1.JPG;Y;201023;201101;0;0;0;fe
37;강진청자축제 2020;38;전라남도 강진군 대구면 청자촌길 33;(사당리);;http://tong.visitkorea.or.kr/cms/resource/92/2643992_image2_1.JPG;Y;201008;201013;0;0;0;fe
38;강화 빙어축제 2020;2;인천광역시 강화군 송해면 전망대로423번길 161;;;http://tong.visitkorea.or.kr/cms/resource/84/2643184_image2_1.jpg;Y;191221;200220;0;0;0;fe
39;강화도 빙어, 송어 축제 2020;2;인천광역시 강화군 내가면 고비고개로741번길 37-30;(내가면);;http://tong.visitkorea.or.kr/cms/resource/18/2575518_image2_1.JPG;Y;191214;200301;0;0;0;fe
40;강화도 송어빙어축제 2020;2;인천광역시 강화군 양도면 중앙로787번길 8-2;;;http://tong.visitkorea.or.kr/cms/resource/56/2570856_image2_1.jpg;Y;191221;200301;0;0;0;fe
41;강화섬포도축제 2019;2;인천광역시 강화군 길상면 초지리 1375-1, 초지대교 앞;;;http://tong.visitkorea.or.kr/cms/resource/39/2616439_image2_1.jpg;Y;190921;190922;0;0;0;fe
42;개천절 대제전 2019;1;서울특별시 종로구 인왕산로 22;;;http://tong.visitkorea.or.kr/cms/resource/44/2621144_image2_1.JPG;Y;191003;191003;0;0;0;fe
43;개화산 해맞이 2020;1;서울특별시 강서구 개화동;;;http://tong.visitkorea.or.kr/cms/resource/18/2582518_image2_1.jpg;Y;200101;200101;0;0;0;fe
44;거문오름 국제트레킹대회 2019;39;제주 제주시 조천읍;선흘2리;;http://tong.visitkorea.or.kr/cms/resource/26/1287226_image2_1.jpg;Y;190720;190728;0;0;0;fe
45;거제 대구 수산물축제 2019;36;경상남도 거제시 장목면 외포5길 34;;;http://tong.visitkorea.or.kr/cms/resource/02/2641002_image2_1.png;Y;191221;191222;0;0;0;fe
46;거제 바다로세계로 2019;36;경상남도 거제시 계룡로11길 26;;;http://tong.visitkorea.or.kr/cms/resource/91/2551991_image2_1.png;Y;190801;190804;0;0;0;fe
47;거제 어린이 축제 2019;36;경상남도 거제시 계룡로11길 26;(고현동);;http://tong.visitkorea.or.kr/cms/resource/37/2600237_image2_1.jpg;Y;190505;190505;0;0;0;fe
48;거제 장승포항 송년불꽃축제 2019;36;경상남도 거제시 장승로 146-25;;;http://tong.visitkorea.or.kr/cms/resource/19/2640219_image2_1.jpg;Y;191231;191231;0;0;0;fe
49;거제맥주축제 2019;36;경상남도 거제시 장승포동 685-3;;;http://tong.visitkorea.or.kr/cms/resource/27/2615527_image2_1.jpg;Y;190827;190831;0;0;0;fe
50;거제섬꽃축제 2020;36;경상남도 거제시 거제면 거제남서로 3577;;;http://tong.visitkorea.or.kr/cms/resource/00/2614400_image2_1.jpg;Y;201031;201108;0;0;0;fe
51;거창 국화전시 2019;36;경상남도 거창군 신원면 신차로 2924;(신원면);;http://tong.visitkorea.or.kr/cms/resource/00/2436600_image2_1.jpg;Y;191025;191110;0;0;0;fe
52;거창 크리스마스트리문화축제 2019;36;경상남도 거창군 거창읍 중앙로 103;;;http://tong.visitkorea.or.kr/cms/resource/19/2638719_image2_1.jpg;Y;191201;200127;0;0;0;fe
53;거창국제연극제 2019;36;경상남도 거창군 위천면 황산1길 60-6;;;http://tong.visitkorea.or.kr/cms/resource/96/2553696_image2_1.jpg;Y;190726;190811;0;0;0;fe
54;거창전국대학연극제 2019;36;경상남도 거창군 위천면 황산1길 60-6;;;http://tong.visitkorea.or.kr/cms/resource/00/2553700_image2_1.jpg;Y;190803;190809;0;0;0;fe
55;거창한마당대축제 2019;36;경상남도 거창군 거창읍 심소정길 39-36;;;http://tong.visitkorea.or.kr/cms/resource/06/2588806_image2_1.jpg;Y;190926;190929;0;0;0;fe
