;고성 하늬라벤더팜 라벤더축제 2020;32;강원도 고성군 간성읍 꽃대마을길 175;;128.4150501452;38.3486205333;;http://tong.visitkorea.or.kr/cms/resource/42/2495742_image2_1.jpg;Y;20200601;20200623;0;0;0;fe
;고양국제꽃박람회 2020;31;경기도 고양시 일산동구 호수로 595;;126.7686849202;37.6539736577;;http://tong.visitkorea.or.kr/cms/resource/80/2601280_image2_1.jpg;Y;20200925;20201011;0;0;0;fe
;고양호수예술축제 2020;31;경기도 고양시 일산동구 호수로 595;;126.7686654803;37.6538792239;;http://tong.visitkorea.or.kr/cms/resource/61/2654161_image2_1.JPG;Y;20200924;20200927;0;0;0;fe
;고창 해풍고추축제 2020;37;전라북도 고창군 해리면 청해1길 15;;126.5378112270;35.4611162404;;http://tong.visitkorea.or.kr/cms/resource/38/2557238_image2_1.jpg;Y;20200822;20200823;0;0;0;fe
;고창모양성제 2020;37;전라북도 고창군 고창읍 모양성로 1;;126.7042193959;35.4315946094;;;Y;20201021;20201025;0;0;0;fe
;과천축제 2020;31;경기도 과천시 관문로 64;;126.9892711841;37.4275927964;;http://tong.visitkorea.or.kr/cms/resource/46/2618446_image2_1.jpg;Y;20200924;20200927;0;0;0;fe
;광복로 연등문화제 2020;6;부산광역시 중구 광복중앙로 3;(창선동1가);129.0311568706;35.0995675166;;;Y;20200430;20200530;0;0;0;fe
;광안리 새해맞이 2020;6;부산광역시 수영구 광안해변로 219;(광안동);129.1173479525;35.1516077265;;http://tong.visitkorea.or.kr/cms/resource/94/2350894_image2_1.png;Y;20200101;20200101;0;0;0;fe
;광주 프린지페스티벌 2020;5;광주광역시 동구 금남로 245;;126.9187519429;35.1483608365;;http://tong.visitkorea.or.kr/cms/resource/75/2487975_image2_1.jpg;Y;20200801;20201031;0;0;0;fe
;광주국제식품전 2020;5;광주광역시 서구 상무누리로 30;;126.8405588979;35.1467180358;;http://tong.visitkorea.or.kr/cms/resource/39/2555939_image2_1.JPG;Y;20201112;20201115;0;0;0;fe
;광주국제차문화전시회 2020;5;광주광역시 서구 상무누리로 30;;126.8405588979;35.1467180358;;http://tong.visitkorea.or.kr/cms/resource/08/2658508_image2_1.jpg;Y;20200924;20200927;0;0;0;fe
;광주문화재야행 '동구 달빛걸음' 2020;5;광주광역시 동구 서남로 1;(서석동);126.9231210717;35.1455501169;;http://tong.visitkorea.or.kr/cms/resource/87/2608887_image2_1.JPG;Y;20200703;20200704;0;0;0;fe
;광주비엔날레 2021;5;광주광역시 북구 비엔날레로 111;;126.8902647155;35.1825648257;;http://tong.visitkorea.or.kr/cms/resource/48/2561748_image2_1.JPG;Y;20210226;20210509;0;0;0;fe
